input,output,target_ie,target_ns,target_tf,winner_ie,winner_ns,winner_tf
"Coding is kind of great when it's not frustrating, and it seemed like you were getting older so enjoy being young, so I thought this might make you laugh and cry at the same time; it made me pretty happy, and because we lost the remote I manually changed channels until I found the Warriors game since GW Wi-Fi was unreliable and I didn't want to risk streaming it.",coding is kinda awesome when it's not frustrating as hell ba dum tsss do not ugh you're almost old enjoy youngness so i thought this might make you laugh and cry at the same time this makes me jump up and down with happiness so we lost the remote so i manually changed channels til i found the warriors game bc gw wifi is such shit i didn't wanna risk streaming it .,E,N,T,Output,Input,Input
It can be distracting when people use semicolons without knowing how to use them.,it really bothers me when people use semicolons and they don't know how to use semicolons .,E,N,T,Output,Input,Input
It seems most people are Catholic because their relatives taught them it's a way of life.,Most people are Catholic because they have been taught by their relatives that it's a way of life.,E,S,F,Output,Output,Output
It seemed like your type me post gave off strong Fe vibes.,Definitely some strong Fe vibes that I got from your type me post.,E,S,F,Output,Output,Output
I got into MBTI a year ago after a guidance counselor gave me some personality tests.,I picked up mbti a years ago after getting personality tests from a guidance counselor.,E,S,F,Input,Input,Input
That seems like it could be useful for the future of cosmetic surgery.,"Hey, that sounds like it'll be great for the future of cosmetic surgery.",E,S,F,Output,Input,Output
Was that the Plaza instead of the Lounge?,Was that Plaza and not Lounge?,E,S,F,Input,Input,Input
It felt selfish to consider leaving her for my own benefit.,I just felt selfish for thinking about leaving her for my benefit.,E,S,F,Input,Input,Output
Is there a way I can encourage my wife to discuss things with me before she makes decisions?,Is there a way that I can get my wife who is to discuss things with me before she makes decisions?,E,S,F,Input,Input,Input
I'd like to meet some people here.,I hope to make some friends here.,E,S,F,Output,Input,Output
I'd probably feel guilty if I did.,Id probably feel guilty if I did.,E,S,F,Input,Input,Input
"Sorry, I think it's in order because God created it and is in control.",I'm sorry :( I believe it is in order because I believe god created it and is in control.,E,S,F,Output,Input,Output
I'd like to hear from women about what matters to them in relationships.,I'm looking for perspective from females on just what makes them tick in relationships?,E,S,F,Output,Input,Input
"I read through that, and the main thing I appreciated was when she finally opened up to me and told me what was wrong.","I read through that, and the one thing I appreciated MOST of my was when she'd finally OPEN UP to me and tell me what was wrong.",E,S,F,Output,Input,Output
What makes you feel secure or lonely?,What give you feelings of security or loneliness?,E,S,F,Input,Input,Input
I've started using this site to grow with people who have similar interests and understand each other.,"I've really taken to this site, as a means of growth with like minded people who get each other.",E,S,F,Output,Input,Output
That more or less sums us up.,That pretty much sums us up.,E,S,F,Output,Input,Output
"I'm talking to my favorite person, Winchie, and I'm starting to fall asleep sitting here.",Now im talking to my favorite person (winchie!) and falling asleep sitting here!!!!,E,S,F,Output,Output,Output
I enjoyed talking to winchie yesterday and plan to talk with them again today.,"I loved talking to winchie yesterday, and can't wait to again today.",E,S,F,Output,Input,Output
"Sorry, I wish I could help.","Awwwww :/ I'm sorry, I wish I could help.",E,S,F,Output,Input,Output
Sounds good; pick an avatar and expand where you post.,"I agree, choose an avatar, and expand your posting areas!!",E,S,F,Output,Input,Output
"Lately it seems like people are trying to get me to stop being nice, especially the women I've loved.","I feel so many days people trying to kill the niceness from me, especially the women I've loved.",E,S,F,Output,Input,Output
"I had a good chat with an old friend and was in a good mood, but then my stomach started to hurt.","a good chat with an old friend, so I was in a good mood, until my stomach started to hurt.",E,S,F,Input,Input,Input
"In high school, which seems like ages ago now, I was one of the few who hung out with pretty much everyone.","In high school, five million years ago now, I was actually one of the rare ones who hung out with pretty much everyone.",E,S,F,Input,Input,Input
"Our lunch table was the biggest in school, and people from every clique sat there.","Our lunch table was the largest in school, with people from every clique...",E,S,F,Input,Input,Input
"Before I die, I'd like to love and be loved.","Before I die, I want to love and be loved.",E,S,F,Output,Input,Input
"I get wanting someone to care after being bullied, but unless you have a personal connection with your supervisor, it might make more sense to see a therapist.","can relate to being bullied and just wanting someone to care, but quite honestly unless you have a personal connection with your supervisor, I might seek out a therapist instead.",E,S,F,Output,Output,Output
You can adjust builds however you want and see what works best for you.,You can tweak builds however you like and find what works best for you!,E,S,F,Output,Input,Output
Try to prioritize that before you decide what to roll.,Make sure you prioritize that before you start looking at what to roll.,E,S,F,Output,Output,Output
"Before the day ends, I'd like to acknowledge /u/SamAdamsGaming, /u/Hertzdawg, and an anonymous person who added me on Battle.net.","As the day comes to a close, I'd like to give shoutouts to /u/SamAdamsGaming, /u/Hertzdawg, and an anon who added me via battlenet.",E,S,F,Output,Input,Output
Thanks — I hope we have more lucky runs together in the future.,You guys rock and I hope to have much more lucky runs with you in the future!,E,S,F,Output,Input,Output
"No problem, I was able to help.","No problem man, happy to help!",E,S,F,Output,Input,Output
"I've been trying to make new friends too, but apps like Bumble BFF haven't worked well for me.","I'm looking for new friends as well, but have had trouble with things like Bumble BFF.",E,S,F,Input,Input,Input
"I get anxious about going out when I don't know anyone, but I felt welcome and included in the conversation the whole time.",I have social anxiety when it comes to going out and not knowing anyone at all but I felt very welcome and felt engaged and included in conversation 100% of the time.,E,S,F,Output,Output,Output
"I don't like conflict, so I need to feel safe with my partner when I bring up problems.","As an , I hate conflict so I need to feel safe with my partner when bringing up problems and issues.",E,S,F,Output,Input,Output
"I show love through acts of service and feel loved through words of affirmation, quality time, and physical touch.","My love languages are: giving ""acts of service"" and receiving ""words of affirmation"", ""quality time"", and ""physical touch"".",E,S,F,Input,Input,Input
"I find it hard to talk about broad themes and ideas, and I get more from meetings with concrete action items and tasks because I pay more attention to details and execution than to planning.",N's because I'm an S and I have trouble talking about big overarching themes and ideas - I feel more value when attending meetings with concrete action items and tasks to complete because my head is in the details and in the execution of a project rather than the planning.,E,S,F,Output,Output,Output
"It seems like AT&T has better coverage, and it's handy to have somewhere to go for phone help instead of doing it all by phone or online.","Coverage is better on AT&amp;T in my experience, and it's nice to have a place to go to for phone help instead of over the phone/internet.",E,S,F,Output,Output,Output
"If you want a weekend trip, you could go to Kings Island on Saturday and stop at IKEA before heading back on Sunday, which might make for a pleasant and productive weekend.","If you want to make a weekend trip and go to Kings Island on a Saturday and then go to IKEA before heading back on Sunday, it could be a fun and still productive weekend.",E,S,F,Output,Output,Output
A useful tip: at the Walmart Auto Center they'll fill them for free and you can stay in your car.,"Best secret is if you go to Walmart auto center, they'll fill them for free and you don't have to leave your car.",E,S,F,Output,Input,Output
"Demand for SLPs is high right now, so wherever you go to school you're likely to find a job without much trouble.","The demand for SLPs is so high right now that no matter where you go to school, you should be able to get a job no problem.",E,S,F,Output,Input,Input
I try to help others and get to know them personally.,I like to help others and get to know them personally.,E,S,F,Output,Input,Output
"On a surface level, I generally prefer having company and don't like being alone unless I'm focused on a project, so people tend to keep me company.","In a more shallow sense, I love company and I'm not a fan of being alone unless I'm focused on some project, so people give me companionship.",E,S,F,Output,Input,Output
"I'm comfortable around my old college friends, and my role seemed to be the emotional glue of the group.","I'm very comfortable around my old college friends and my role was really almost the ""glue"" of the group, emotionally.",E,S,F,Output,Output,Output
I've helped plan big ones for some friends and low-key ones for friends who are a bit shyer.,I've helped plan huge ones for my friends and low-key ones for my friends who are more shy.,E,S,F,Output,Output,Output
I'm sorry you're dealing with this; situations like this can sometimes be hard.,"First of all, I'm sorry that you're feeling this way and going through this, situations like this suck.",E,S,F,Output,Input,Output
"That's kind of funny, congrats — now Evans goes back to his usual drinking routine, there are two Cap appearances that probably make their mom proud after the Infinity War preview, and it seemed like he waited about eight minutes to continue that tweet, maybe because he was thinking of a clever hashtag, Hemsworth.",amazing that it's the coolest thing ever congrats you meatball now evans goes back to his regular scheduled drinking oh damn 2 cap appearances you two make mama proud infinity war preview he took 8 minutes to continue that tweet what a loser i wonder if evans takes that long to type a tweet because he's thinking of a clever hashtag hemsworth ?,E,S,F,Output,Input,Output
"I just finished rewatching the whole thing and realized we only have three more episodes, so I'm going to watch Shameless next, which will probably lead to more tears.",i just finished rewatching the whole thing and i can't believe we only have 3 more episodes imma go and watch shameless now to dry my tears with more tears .,E,S,F,Output,Output,Output
"I joked about liking pain, that Super Bowl photobomb thing was surprising, I asked for a link but then found one, and what's happening with Eurovision?",i like pain haha fuck just outstanding that superbowl photbomb thing someone give me a link to that nvm found one you beautiful karate kid what's happening with eurovision ?,E,S,F,Output,Output,Output
Does anyone have a link to Ms. Marvel?,anybody have a link for ms marvel ?,E,S,F,Output,Input,Input
"I can't find that one or Angela: Asgard's Assassin #3, thanks, spoilers: the last issue seems like it's going to be intense, so I'm reading Ant-Man mainly for Cassie's return and the Kate and Cassie reunion, and I'm wondering where Eli Bradley is.",i can't find that one or angela asgard's assassin 3 amazing thank you :D * spoilers * omfg last issue is gonna be so intense i can feel it it better be i'm reading ant-man purely for cassie's return kate and cassie reunion tho :') eli bradley my son where he at ?,E,S,F,Output,Input,Output
"I was thinking Maryland, and if there aren't any stops in DC, you're probably right.",i was figuring maryland if you don't have any stops in dc then you're right !,E,S,F,Output,Output,Output
"I'm with you, I'm not sure what you mean, but for me every day feels like Christmas.",i'm with you i'm not sure what you mean but everyday is christmas to me !,E,S,F,Output,Output,Input
"Sorry — when things like that happen I just want to say 'call me,' but I should start doing that now.",my sincere apologies sometimes when things like that go on i just want to say - call me - but i better now start that .,E,S,F,Input,Input,Output
"I hope that if I'm the one holding things together on Twitter, I don't fall apart.",i hope that if im the twitter glue that i don't fall apart !,E,S,F,Input,Input,Input
"Were the participants cordial to each other, or did the debate seem strained?","were the participants cordial to each other or was the debate relation "" strained "" ?",E,S,F,Input,Input,Input
"Kids are nice, and it seems like there's a lot of internalized misogyny in nerd culture.",kids are the best there's a lot of internalized misogyny in nerd culture .,E,S,F,Output,Output,Output
"I like it when they're so young, their tails are still just a little triangle point.","i love it when they're so young , their tails are just a triangle point .",E,S,F,Output,Input,Output
You could try painting a hoodie with fabric paint instead.,maybe you could try fabric painting a hoodie instead ?,E,S,F,Input,Input,Output
What are your favorite face primers?,what are y'alls favourite face primers ?,E,S,F,Output,Input,Output
"I'm looking to replace my Clinique Redness Correcting Primer, which didn't work for me.","i'm looking to replace my clinique redness correction primer , which was a dud .",E,S,F,Output,Input,Output
"Someone noted that if more people valued home over gold the world would be a nicer place, then mentioned the Eagles were coming and a username kymgmos, said it seemed like they thought others should feel the pain they felt, asked people to watch The Hobbit on HBO and referenced LOTR, added that their roommate kept asking them to turn the movie off while they kept turning the volume up, greeted repeatedly, said they'd been mentioned a lot and mentioned the name Rhiannon which can feel like a mouthful sometimes, said they were surprised by how good Halt and Catch Fire was and were ready for season two, joked that their last name is worse than their first and that tough names make life a bit harder, and retweeted PJ & RA about the Great Wall of China.",if more people valued home above gold this world would be a merrier place the eagles the eagles are coming oh kymgmos because other people have to feel the pain i felt please the hobbit is on hbo everyone watch it both ummmm lotr but really my roommate keeps yelling at me to turn the hobbit off but i just keep turning the volume up hi hi hi ! ! i see you mentioned all the time too omg i'm rhiannon yes i am omg it's such a mouthful sometimes i swear nah i honestly cant believe how good halt and catch fire was i'm so ready for s2 my last name is even worse than my first tough names lead such a rough life rt : pj & amp ; ra the great wall china .,E,S,F,Output,Input,Input
"That blog seems to have literally deleted my wall post; I have Graham McTavish and would consider that a fair trade for Richard Armitage, so just give me a retweet, and Hugo Weaving, who was listed as Punky Brewster's biological parent, still looks good.",""" i will have wall "" literally disappear it to me stupid blog asshole i have graham-mctavish like that is a perfectly fair trade for richard-armitage just gimme rt : punky brewster's biological parents hugo weaving is still a babe ha ha !",E,S,F,Output,Output,Input
"He did a lot of research and spent a lot of time on Thorin, filling in missing parts of his story, and Thorin seemed unattractive; I haven't watched The Matrix in years and should probably watch it soon, I was annoyed about that Galadriel moment, he can be funny which sometimes feels unexpected, I half-jokingly told Richard to marry me, Star Wars is coming out tomorrow, I have that saved as a sidebar GIF I need to change on my blog, I felt bad and didn't like him, and everyone seems convinced the Pats cheated though it's not certain.",he did so much research and dedicated so much time to thorin and just came up with missing pieces for his story he's so ugly i mean really i haven't watched the matrix in years i need to do that soon i'm so mad about that galadriel he's so funny it just seems so unexpected sometimes no but really richard marry me i'm such a catch star wars come out like tomorrow please i literally have that saved for a sidebar gif that i have to change on my blog i want to die i hate him everyone is convinced the pats cheated but like .,E,S,F,Output,Input,Output
"My blog mostly has a lot of white men, which made me think I hadn't realized Bill Weasley is Mad‑Eye Moody's son (not in the movies), and like with Brendan and Domhnall Gleeson I never put the connection together, which reminded me of Rooney and Kate Mara and made me wonder if pansexuality is supposed to mean you don't notice gender.","my blog is just a mess of ugly white dudes i hate myself holy shit i didnt realize that bill weasley is mad eye moody's son not in the series i mean like i know brendan and domhnall gleeson but i never put the connection together this is like rooney and kate mara all over again and i think to myself , what a wonderful world isnt the point of pansexual that you dont recognize gender ? ? ? ? ?",E,S,F,Output,Input,Output
"It seems like it's about the person, not their gender.",like it's the person not the gender ? ? ?,E,S,F,Input,Input,Input
"I keep replaying it, Andre — ""You're So Beautiful"" is a good song; sorry you started it, and I agree.",me keep replaying it andre :( you're so beautiful is a jam omg sorry you started it yes agreed !,E,S,F,Output,Input,Output
"When did they add it to Netflix; last year I had to go through what seemed like some sketchy sites to find a link with subtitles, so is it different now?",omg when did they add it onto netflix last year i went thru the shadiest websites to find a link with subs no omg is it different ?,E,S,F,Output,Input,Output
Why does that label have to divide us?,why do we have to have that label divide us ?,E,S,F,Output,Input,Input
I had to fix the quotation marks because they were bothering me.,i had to fix the quotation marks they were bothering me .,E,S,F,Input,Input,Input
"Goodnight — I'm going to try to sleep before 2, it seems like it's going to snow today; happy birthday Maranda, I noticed there was a fight in the parking lot this early in the morning and wondered who would be doing that at 7am on early release day.",me goodnight i'm gonna try to sleep before 2 now so it's really gonna snow today then happy birthday maranda why was there a fight in the parking lot this early in the morning who is ready to throw hands at 7am early release today yes bitch !,E,S,F,Output,Output,Input
"I miss you a lot; it still feels hard, just so you know.",i just miss you so much it hurts for the record ...,E,S,F,Output,Output,Output
"By the way, I notice my heart beats faster when I look into your eyes.","by the way my heart starts pounding , when i look into your eyes .",E,S,F,Input,Output,Output
I've been retweeting a lot today while it seemed like others were complaining about class tomorrow.,my retweet game is too strong today while all of you are complaining about class tomorrow ...,E,S,F,Output,Output,Input
It seems like we were separated at birth.,i swear we were separated at birth .,E,S,F,Output,Input,Output
Seeing that name pop up on my phone surprised me.,"seeing that name pop up on my phone , caught me totally off guard .",E,S,F,Output,Input,Output
"Thanks, friends — wait, let's become dual citizens together.",thanks friends wait lets be dual citizens together !,E,S,F,Input,Input,Input
"There was an alum on my tour today, and she helped me paint the diamond shapes on the wall mid-tour for Sigma Chi Derby Days.",there was a alum on my tour today and she did the diamonds with me mid-tour wall paint for sigma chi derby days !,E,S,F,Output,Input,Output
AC Dream Team is currently undefeated.,ac dream team is currently undefeated .,E,S,F,Input,Input,Input
"I'm looking forward to sitting with my ADPi friends at the game, and I just thought of that commercial that seemed aimed at older people.",so excited to sit with all my adpis at the game i just thought of that commercial for old people .,E,S,F,Output,Input,Output
You were selected as a member of USC's Order of the Torch.,shout out to for being selected as a member of usc's order of the torch !,E,S,F,Output,Input,Output
"At least I have tomorrow, and I believe Jesus is Lord, so I'm okay with that.","tmlt : but at least i have a tomorrow , and jesus is lord , so whatever .",E,S,F,Input,Input,Input
"I worked last night, have a day shift tomorrow, and there's a snowstorm.","worked last night , day shift tomorrow , and have the snow storm .",E,S,F,Input,Input,Input
"So, our Rimac party is tomorrow, right?","Soooo tomorrow at our rimac party , right ?",E,S,F,Output,Output,Output
I woke up to 42 text messages.,i woke up to 42 text messages .,E,S,F,Input,Input,Input
Most of them are from the core.,vast majority of them are from the core .,E,S,F,Output,Output,Input
How can so many people seem that unaware?,how can so many people be so stupid?,E,S,F,Output,Output,Input
Have you thought about any other types?,have you considered any other types though?,E,S,F,Output,Input,Output
"I try to be fairly mature, but I also think life is short enough to be childish every once in a while.","I believe I am pretty mature, but that in being so I know that life is way too short not to act childish every once in a while.",E,S,F,Output,Input,Output
I use my GIFs to show what I mean.,i use my gifs to express myself.,E,S,F,Input,Input,Output
I'll follow you on Tumblr to show I'm committed.,o; I'll follow you on tumblr to show my commitment.,E,S,F,Input,Input,Input
I don't usually reach out more than once unless I'm very interested in someone.,I'm usually not a repeat offender unless I'm extremely interested in the person.,E,S,F,Input,Input,Input
"Look at this, they seem cute.",:3 AGGHHHHH MY GOD LOOK AT THIS CUTIE.,E,S,F,Output,Output,Output
I just joined this site today and I'm looking forward to meeting some new people here.,I just joined this site today and I am super excited to make a bunch of new friends on here!,E,S,F,Output,Input,Output
Talking to a complete stranger can feel about as easy as talking to your best friend.,It's as easy to talk to a complete stranger as it is with your best friend.,E,S,F,Output,Output,Input
I play the ukulele and was wondering if you know any songs that sound good or might sound good on it.,So I play the ukulele and I was wondering if you knew any songs that sound great or have the potential to sound great on the ukulele.,E,S,F,Output,Input,Input
I prefer reading paper books.,I absolutely love reading paper books.,E,S,F,Output,Input,Output
"Okay, I know we're supposed to be criticizing, but I like your sass.","Okay I know we're supposed to be criticizing, but I just love your sassiness.",E,S,F,Output,Input,Output
"I wasn't very into Korra, and it seemed like the plot of Avatar: The Legend Of Aang (ATLA) was stronger.",I also didn't like Korra very much and I thought the plot of Avatar: The Legend Of Aang (ATLA) was much better.,E,S,F,Output,Output,Output
"Since the first season, I've been hoping they'd end up together.","Since the first season, I've been rooting for them to be together.",E,S,F,Output,Input,Output
I'm not sure why you see him as an extrovert in particular.,"I'm not sure why you see him as an extrovert, specifically.",E,S,F,Output,Output,Output
One thing that kept me from considering it was the party-girl stereotype that made it seem like you couldn't have a deep conversation.,One of the things that kept me from ever considering was the party-girl who you can't really have a deep conversation with stereotype.,E,S,F,Input,Input,Input
I've always been a bit unsure about Se.,I guess I have always been somewhat confused about Se.,E,S,F,Input,Output,Output
I'm back again in this community.,I am back again into this community.,E,S,F,Input,Input,Input
I just wanted to say hello to everyone.,I would like to say hello to all of you guys.,E,S,F,Output,Output,Output
I hope you're enjoying your time here.,Hope you are enjoying a lot here.,E,S,F,Output,Input,Output
I like it too.,Ha ha ha I like it too.,E,S,F,Output,Input,Output
"No, I generally don't feel hesitant expressing myself to others.","No, never I don't feel hesitant to express myself to others.",E,S,F,Output,Input,Input
Why aren't you a rapper?,TBH why are you not a rapper?????,E,S,F,Output,Input,Output
"For some people, Instagram is a way to make it easier to express themselves.","For some people, Instagram is a great way to facilitate their self expression.",E,S,F,Output,Input,Input
I feel like rolling on the ground and making walrus noises.,I'm compelled to roll around on the ground and make walrus noises.,E,S,F,Output,Input,Input
That's an interesting idea; I'll say I understand it for now.,That's an interesting concept that I'm going to pretend to understand!!,E,S,F,Output,Input,Input
I'm a bit concerned about posting my photo here.,"So, I'm really worried about posting my photo on here.",E,S,F,Output,Input,Output
It seems like you're getting a lot of mixed signals.,You are obviously getting a ton of mixed signals.,E,S,F,Output,Output,Input
"If she says she still loves you, take her words at face value.","If she says she still loves you though, take it at face value.",E,S,F,Input,Input,Input
I'm just looking at my options and passing the time here.,I'm just exploring my options and having fun here.,E,S,F,Output,Input,Output
"Feel free to kiss, touch, or tease me.","Kiss me, touch me, tease me.",E,S,F,Output,Output,Input
Bananas and chocolate together are pretty nice.,</3 Bananas + chocolate= Me dying and going to heaven.,E,S,F,Output,Input,Output
"Since I was a kid, I turned to dance when I felt down or misunderstood.",Ever since I was a kid dance was an outlet I could go to for when I felt down and misunderstood.,E,S,F,Output,Input,Input
It's like breathing for the soul.,It is like breathing for the soul.,E,S,F,Input,Input,Input
"Yellow and orange are bright and shiny, like the sun, and all colors can be appealing.","yellow and orange is bright, shining and beautiful like the sun I love all colors!!!!",E,S,F,Output,Input,Output
"An egg and applewood ham sandwich on potato bread with brie, pate, grilled onions, and tomatoes.",Egg and applewood ham sammy on potato bread with brie & pate and grilled onions & tomatoes.,E,S,F,Output,Input,Output
"When my boyfriend and I first started dating, we were driving home from our first concert together when 'All of Me' by John Legend came on the radio.","When my bf and I first started dating, we were on our way home from our first concert together and All of Me by John Legend was played on the radio.",E,S,F,Input,Input,Input
I like this band a lot.,I love this band so god damn much.,E,S,F,Output,Output,Output
Listening to them usually puts me in a better mood.,Listening to them always puts me in a great mood.,E,S,F,Output,Input,Output
I'm listening to the Horses album for the first time.,Giving the Horses album a listen for the first time.,E,S,F,Input,Input,Input
This song is pretty good.,This song kicks so much ass.,E,S,F,Output,Output,Output
A collection of 10 well-made new wave/pop songs.,A collection of 10 perfectly crafted new wave/pop songs.,E,S,F,Output,Output,Output
It seems we're on the same level.,^ I see we're on the same level!,E,S,F,Output,Input,Output
Want to see me as a zombie?,Wanna see me as a Zombie?,E,S,F,Output,Output,Output
I need my soundsword now.,I gotta use my soundsword now.,E,S,F,Output,Input,Output
"You're worthy, so get up.","You're worthy, you're worthy, get up!",E,S,F,Output,Output,Output
"I got the Wildstar beta and now have exactly 100, and I did 50 myself.",Wildstar beta :3 got now exactly 100 thanks and done 50 thanks myself!,E,S,F,Output,Input,Output
"I'm working on two articles for a men's magazine aimed at 18-45 year olds, and they need a female point of view.",I am currently working on two articles for a men's magazine (targeting ages 18-45) and they require a female point of view.,E,S,F,Input,Input,Input
I'm wondering how men go about finding a more compatible partner.,Just wanna know how guys 'strategize' zeroing in on a more compatible mate!!,E,S,F,Output,Input,Input
We don't have a problem with me being extroverted and him being introverted.,We don't have any issue over the fact that I'm extroverted and he's introverted.,E,S,F,Input,Input,Input
What about what makes me happy?,what about what makes ME happy?,E,S,F,Output,Input,Output
"I can be intense, and I enjoy deep conversations and helping people with problems they have.",I am and I'm extremely intense and love having deep conversations and helping people with any problems they might have.,E,S,F,Output,Input,Output
"Lazy, empathetic, different, expressive, creative.","Lazy, empathetic, diffrent, expressive and creative.",E,S,F,Input,Input,Input
"I did it, so I can finally play some games now, though I was kidding.","I did it yay, I can finally play some games now I was kidding.",E,S,F,Output,Input,Output
"I don't know who you are, but I'd be interested in meeting you to talk things over.",I actually have no idea who you are and would be intrigued to meet you so we could talk things out.,E,S,F,Input,Input,Input
Listen to some music or play a few video games and just wait until you feel balanced again.,"Listen to music, play some videogames, just stall until you're up to balance again.",E,S,F,Input,Input,Input
"I switch between E and I a lot because I don't mind being the center of attention but don't need it to be happy, so I'll read all 14 types and try to figure myself out.","I feel like I go between E and I alot since I don't mind being the centre of attention but I don't need to be in order to be happy but yeah, I'll read all the 14 types and try to discover myself!",E,S,F,Input,Output,Output
"It looks like you cross-posted in a few subs, but r/randomactsofcards has a number of people who might send some too.","I know you cross posted in a few subs already, but /r/randomactsofcards has quite a few gentle hearts who would likely send some as well.",E,S,F,Output,Input,Output
"Just in case you weren't summoned, /u/CheapIsHowIFeel, come on down.","Just in case you weren't summoned, /u/CheapIsHowIFeel COME ON DOOOOOOWN BOOM!",E,S,F,Output,Output,Input
"Share your secrets, thoughts, and experiences, and I'll compare them to mine and say where I can relate so we can enjoy that connection.","Tell me your secrets, thoughts and experiences - I'll run them through my own and tell you where I can relate to you so that we can enjoy that connection together.",E,S,F,Output,Input,Output
"I don't want to offend anyone by accident, so I listen first to avoid saying the wrong thing, since that seems to be happening.","Plus, I would HATE to offend anyone unintentionally so listening first prevents that nasty foot-in-mouth thing that seems to be going around.",E,S,F,Output,Input,Output
Peppermint tea works well for unwinding or for starting the day during the holidays.,Peppermint tea is one of my FAVORITE things to unwind with (or start the day with during the holidays!).,E,S,F,Output,Input,Output
"I enjoy football, even when I'm just watching it.",I get a rush out of football or even watching football really.,E,S,F,Output,Input,Input
It seems like everything he says is good.,Dude everything this guy says is awesome.,E,S,F,Output,Input,Output
I noticed everyone's expressions change from happy to miserable.,I liked watching all the faces go from happy to miserable.,E,S,F,Output,Output,Output
"I didn't pay much attention when I first got here, and I just want to drink.",I didnt listen for shit when i first got in and i just want to drink.,E,S,F,Output,Input,Input
Do you spend much time on your appearance?,Do you spend a lot of time on your appearance?,E,S,F,Output,Output,Output
Hang in there; hope you get better soon.,hang in there and i hope you get better soon!,E,S,F,Output,Input,Output
I'd like the people I care about and trust to notice me and understand me too.,I would like to be recognised by those that I cherish and trust dearly and for them to hopefully understand too.,E,S,F,Input,Input,Output
"Move on, get a lawyer, and go to the gym.","Move on, lawyer up and hit the gym.",E,S,F,Output,Input,Input
It would be nice to move to the Virgin Islands and grow a beard.,"though, I wish I could move to the Virgin Islands and grow a beard.",E,S,F,Input,Input,Output
I've noticed you were there before her and you'll be there after her.,"But here's what I've learnt, you were there before her and you will be there after her.",E,S,F,Input,Input,Output
"That's good for you, and I'm sorry to hear that.",Good for you and sorry to hear that.,E,S,F,Input,Output,Input
It seems like you're being reasonable and he isn't.,Sounds like you're being reasonable and he's not.,E,S,F,Output,Input,Output
"If he had to choose between you and your cat or no one, what would he pick?","If he had to pick you and your cat or no one, which would he choose?",E,S,F,Input,Input,Input
"My friends and I get along and talk about a lot of things, from joking and relationships to careers and future plans.","My friends and I get along very well and have a wide range of conversations from smack talking, relationship talk, career, aspirations, etc.",E,S,F,Output,Input,Input
"Instead of accepting ""I'm not a cat person"" or ""it's me or the cat,"" you could ask him to explore why he feels that way and then work on those concerns together.","Rather than letting him stop at ""I'm not a cat person"", or ""it's me or the cat"" perhaps you can be the more emotionally mature person and ask/help him explore why he's not a cat person and then actually address those things together.",E,S,F,Input,Output,Output
I can take him everywhere and probably won't get hassled or asked why I'm hugging a fluffy animal all the time.,"I will take him everywhere and no one will hassle me, or question why I'm hugging a fluff ball 24/7.",E,S,F,Output,Input,Input
"I bought a smok alien, a Brit One Mini, a Tsunami RDA, and five meters of Clapton coil for just under $84, I saved about $20, and I'm going to a strip club to spend the savings.","For the record, I picked up a smok alien, a Brit one mini, a tsunami rda, and five meters of Clapton coil, my total came to just short of 84 dollars, saved me 20 bucks, im off to the strip club to spend my savings as we speak!",E,S,F,Output,Output,Output
"I can listen to people almost all the time, but when it comes to my own problems I stay quiet; I've tried to work on that, but it still feels like a barrier I can't get past.","I'll bear down and listen to someone 24/7 but when it comes to my own personal problems you won't hear a word out of me, that's an issue I try to fight with constantly but it's just a wall I can't break.",E,S,F,Output,Output,Output
"As an ESPF, I tend to be emotionally deep, usually pick up on how people feel, and many friends come to me with their deeper issues.","Im an ESPF and I tend to be extremely emotionally deep, I read people very well, and the majority of my friends tend to come to me for their deep rooted issues.",E,S,F,Output,Output,Output
"Overall, it's a good tank, but I like Tobecco's mini super tanks more; I have four or five and tend to prefer them.","Overall, it's a great tank in my opinion, but nothing beats the mini super tanks by tobecco, I have four or five of them and I swear by them!",E,S,F,Output,Output,Output
That seems like one of the better ones I've seen.,"Yes, that's one of the best ones I've seen!",E,S,F,Output,Input,Output
I was looking at it last night.,I was just looking at it last night.,E,S,F,Input,Input,Output
He seems only able to do finishing moves on people.,All he can do is perform finishers on people.,E,S,F,Output,Input,Input
What do you do in Pokémon if you don't catch them all?,"What exactly do you do in pokemon, if not catch em' all?",E,S,F,Output,Output,Output
"When people ask if something hurts, I just smile and say I feel fine.",When people say if something hurts I just smile and I say I feel great.,E,S,F,Output,Input,Output
"I'm hoping to move to the Los Angeles area this summer, and if I do, I should be able to find someone with plenty of experience.","I'm hoping to move to the Los Angeles area this summer so I'm sure if I do decide to go through with it, I'll have no trouble finding somebody with lots of experience.",E,S,F,Output,Input,Input
"Stevie Nicks has a raspy, ethereal voice and seems almost angelic.",Stevie Nicks is a raspy etherial angel from heaven.,E,S,F,Output,Input,Output
"A simple place to start is a basic moisturizer topped with an occlusive, such as Vaseline or Aquaphor, to lock in moisture.","A good place to start is with a good moisturizer topped with an occlusive to lock in moisture, like Vaseline or Aquaphor.",E,S,F,Output,Input,Output
It seems like a lot of juice to drink in one day.,Who the hell drinks that much juice in one day?!,E,S,F,Output,Input,Output
"If it keeps happening after that, either get a mini fridge and keep snacks in your room, or put out simple traps for whoever keeps taking the juice.","If it keeps happening after that, either buy a mini fridge and keep snacks in your room or start setting traps out for the juice fairy.",E,S,F,Input,Input,Output
