text,true_label,predicted_label,confidence
text me first i promise to reply i never drank anything except water this day i feel so hydrated Booooreeeed ba't nadawit ako milky way i can't eat snickers bc of nuts lalala training kasabot nako karun it all made sense kailan pa kaya oa na lage ko ohsige naiisip mo ba ako edi maganda ka na ?,E,E,0.65
mas magaling ako magkunwari na wala akong pake !,E,I,0.62
bc we're unique good night may training pa bukas di ata uso rest day sa school eh good night hoobae !,E,E,0.68
my phone is hotter than you you're attractive but you hate me i am not a catholic but i really admire pope francis .,E,E,0.64
mashadong ano xd hahhaa :D oh bitchy fish you never fail to make me laugh ..,E,E,0.78
:D :D it's a compliment btw .,E,E,0.63
le search : how to be pretty while crying .,E,E,0.63
xx do you ever lay in bed and crave someones arms around you but like its not gonna happen so you want to explode ?,E,I,0.72
you fucking smiled and oh god oh god oh god loving you was the most exquisite form of self destruction .,E,I,0.56
for the big event nice envelope you didn't stalk fka twigs or did you ?,E,E,0.63
did you see the bae aka fka twigs ?,E,E,0.63
so do you stream it internationally ?,E,E,0.7
holla daniel is you and phil doing da international stream of brits ?,E,E,0.72
you cannot escape the typos can you ?,E,E,0.6
"hell is probably one big party , except you always get hungover and there are no recovery days .",E,E,0.77
maybe i can't read because i can't read signs aboutta get i'm from calasiao .,E,I,0.58
i look forward to snowboarding with a years worth of new music .,E,E,0.68
yo the shuffle is coming correct with the slaps .,E,E,0.66
"people love it when they're on your mind , a thought is love's currency .",E,E,0.62
"i finally have a twitter , you pussies .",E,E,0.66
"and they're called pound signs , not hashtags !",E,I,0.62
currently working on three projects simultaneously .,E,E,0.62
the math nerd in me is very proud .,E,I,0.63
"i'm not scared of you , mister unabomber , with your bombs and contraptions and stuff .",E,E,0.6
i hope there's an ebola breakout .,E,I,0.52
"s if you want the synced version , i gotchu .",E,E,0.65
i would pay good money to see rashad do the shmoney dance .,E,E,0.68
coding is kinda awesome when it's not frustrating as hell ba dum tsss do not ugh you're almost old enjoy youngness so i thought this might make you laugh and cry at the same time this makes me jump up and down with happiness so we lost the remote so i manually changed channels til i found the warriors game bc gw wifi is such shit i didn't wanna risk streaming it .,E,E,0.72
it really bothers me when people use semicolons and they don't know how to use semicolons .,E,I,0.62
Most people are Catholic because they have been taught by their relatives that it's a way of life.,E,E,0.62
Definitely some strong Fe vibes that I got from your type me post.,E,E,0.66
I picked up mbti a years ago after getting personality tests from a guidance counselor.,E,I,0.62
"Hey, that sounds like it'll be great for the future of cosmetic surgery.",E,E,0.68
Was that Plaza and not Lounge?,E,I,0.58
I just felt selfish for thinking about leaving her for my benefit.,E,I,0.7
Is there a way that I can get my wife who is to discuss things with me before she makes decisions?,E,E,0.6
I hope to make some friends here.,E,E,0.75
Id probably feel guilty if I did.,E,I,0.63
I'm sorry :( I believe it is in order because I believe god created it and is in control.,E,I,0.64
I'm looking for perspective from females on just what makes them tick in relationships?,E,E,0.62
"I read through that, and the one thing I appreciated MOST of my was when she'd finally OPEN UP to me and tell me what was wrong.",E,E,0.62
What give you feelings of security or loneliness?,E,I,0.62
"I've really taken to this site, as a means of growth with like minded people who get each other.",E,E,0.74
That pretty much sums us up.,E,I,0.62
Now im talking to my favorite person (winchie!) and falling asleep sitting here!!!!,E,E,0.78
"I loved talking to winchie yesterday, and can't wait to again today.",E,E,0.85
"Awwwww :/ I'm sorry, I wish I could help.",E,I,0.62
"I agree, choose an avatar, and expand your posting areas!!",E,E,0.68
"I feel so many days people trying to kill the niceness from me, especially the women I've loved.",E,I,0.62
"a good chat with an old friend, so I was in a good mood, until my stomach started to hurt.",E,E,0.72
"In high school, five million years ago now, I was actually one of the rare ones who hung out with pretty much everyone.",E,E,0.78
"Our lunch table was the largest in school, with people from every clique...",E,E,0.72
"Before I die, I want to love and be loved.",E,I,0.62
"can relate to being bullied and just wanting someone to care, but quite honestly unless you have a personal connection with your supervisor, I might seek out a therapist instead.",E,I,0.64
You can tweak builds however you like and find what works best for you!,E,I,0.62
Make sure you prioritize that before you start looking at what to roll.,E,I,0.58
"As the day comes to a close, I'd like to give shoutouts to /u/SamAdamsGaming, /u/Hertzdawg, and an anon who added me via battlenet.",E,E,0.68
You guys rock and I hope to have much more lucky runs with you in the future!,E,E,0.78
"No problem man, happy to help!",E,E,0.76
"I'm looking for new friends as well, but have had trouble with things like Bumble BFF.",E,E,0.65
I have social anxiety when it comes to going out and not knowing anyone at all but I felt very welcome and felt engaged and included in conversation 100% of the time.,E,E,0.62
"As an , I hate conflict so I need to feel safe with my partner when bringing up problems and issues.",E,I,0.65
"My love languages are: giving ""acts of service"" and receiving ""words of affirmation"", ""quality time"", and ""physical touch"".",E,E,0.6
N's because I'm an S and I have trouble talking about big overarching themes and ideas - I feel more value when attending meetings with concrete action items and tasks to complete because my head is in the details and in the execution of a project rather than the planning.,E,I,0.65
"Coverage is better on AT&amp;T in my experience, and it's nice to have a place to go to for phone help instead of over the phone/internet.",E,E,0.72
"If you want to make a weekend trip and go to Kings Island on a Saturday and then go to IKEA before heading back on Sunday, it could be a fun and still productive weekend.",E,E,0.68
"Best secret is if you go to Walmart auto center, they'll fill them for free and you don't have to leave your car.",E,I,0.62
"The demand for SLPs is so high right now that no matter where you go to school, you should be able to get a job no problem.",E,E,0.58
I like to help others and get to know them personally.,E,E,0.78
"In a more shallow sense, I love company and I'm not a fan of being alone unless I'm focused on some project, so people give me companionship.",E,E,0.88
"I'm very comfortable around my old college friends and my role was really almost the ""glue"" of the group, emotionally.",E,E,0.72
I've helped plan huge ones for my friends and low-key ones for my friends who are more shy.,E,E,0.75
"First of all, I'm sorry that you're feeling this way and going through this, situations like this suck.",E,I,0.63
amazing that it's the coolest thing ever congrats you meatball now evans goes back to his regular scheduled drinking oh damn 2 cap appearances you two make mama proud infinity war preview he took 8 minutes to continue that tweet what a loser i wonder if evans takes that long to type a tweet because he's thinking of a clever hashtag hemsworth ?,E,E,0.78
i just finished rewatching the whole thing and i can't believe we only have 3 more episodes imma go and watch shameless now to dry my tears with more tears .,E,I,0.62
i like pain haha fuck just outstanding that superbowl photbomb thing someone give me a link to that nvm found one you beautiful karate kid what's happening with eurovision ?,E,E,0.66
anybody have a link for ms marvel ?,E,E,0.63
i can't find that one or angela asgard's assassin 3 amazing thank you :D * spoilers * omfg last issue is gonna be so intense i can feel it it better be i'm reading ant-man purely for cassie's return kate and cassie reunion tho :') eli bradley my son where he at ?,E,E,0.7
i was figuring maryland if you don't have any stops in dc then you're right !,E,E,0.62
i'm with you i'm not sure what you mean but everyday is christmas to me !,E,E,0.68
my sincere apologies sometimes when things like that go on i just want to say - call me - but i better now start that .,E,E,0.65
i hope that if im the twitter glue that i don't fall apart !,E,E,0.64
"were the participants cordial to each other or was the debate relation "" strained "" ?",E,E,0.58
kids are the best there's a lot of internalized misogyny in nerd culture .,E,I,0.58
"i love it when they're so young , their tails are just a triangle point .",E,E,0.62
maybe you could try fabric painting a hoodie instead ?,E,I,0.62
what are y'alls favourite face primers ?,E,E,0.72
"i'm looking to replace my clinique redness correction primer , which was a dud .",E,I,0.58
if more people valued home above gold this world would be a merrier place the eagles the eagles are coming oh kymgmos because other people have to feel the pain i felt please the hobbit is on hbo everyone watch it both ummmm lotr but really my roommate keeps yelling at me to turn the hobbit off but i just keep turning the volume up hi hi hi ! ! i see you mentioned all the time too omg i'm rhiannon yes i am omg it's such a mouthful sometimes i swear nah i honestly cant believe how good halt and catch fire was i'm so ready for s2 my last name is even worse than my first tough names lead such a rough life rt : pj & amp ; ra the great wall china .,E,E,0.78
""" i will have wall "" literally disappear it to me stupid blog asshole i have graham-mctavish like that is a perfectly fair trade for richard-armitage just gimme rt : punky brewster's biological parents hugo weaving is still a babe ha ha !",E,E,0.62
he did so much research and dedicated so much time to thorin and just came up with missing pieces for his story he's so ugly i mean really i haven't watched the matrix in years i need to do that soon i'm so mad about that galadriel he's so funny it just seems so unexpected sometimes no but really richard marry me i'm such a catch star wars come out like tomorrow please i literally have that saved for a sidebar gif that i have to change on my blog i want to die i hate him everyone is convinced the pats cheated but like .,E,E,0.72
"my blog is just a mess of ugly white dudes i hate myself holy shit i didnt realize that bill weasley is mad eye moody's son not in the series i mean like i know brendan and domhnall gleeson but i never put the connection together this is like rooney and kate mara all over again and i think to myself , what a wonderful world isnt the point of pansexual that you dont recognize gender ? ? ? ? ?",E,I,0.64
like it's the person not the gender ? ? ?,E,I,0.56
me keep replaying it andre :( you're so beautiful is a jam omg sorry you started it yes agreed !,E,E,0.72
omg when did they add it onto netflix last year i went thru the shadiest websites to find a link with subs no omg is it different ?,E,E,0.68
why do we have to have that label divide us ?,E,I,0.6
i had to fix the quotation marks they were bothering me .,E,I,0.58
me goodnight i'm gonna try to sleep before 2 now so it's really gonna snow today then happy birthday maranda why was there a fight in the parking lot this early in the morning who is ready to throw hands at 7am early release today yes bitch !,E,E,0.65
i just miss you so much it hurts for the record ...,E,I,0.65
"by the way my heart starts pounding , when i look into your eyes .",E,E,0.66
my retweet game is too strong today while all of you are complaining about class tomorrow ...,E,E,0.7
i swear we were separated at birth .,E,E,0.62
"seeing that name pop up on my phone , caught me totally off guard .",E,I,0.55
thanks friends wait lets be dual citizens together !,E,E,0.72
there was a alum on my tour today and she did the diamonds with me mid-tour wall paint for sigma chi derby days !,E,E,0.72
ac dream team is currently undefeated .,E,E,0.58
so excited to sit with all my adpis at the game i just thought of that commercial for old people .,E,E,0.65
shout out to for being selected as a member of usc's order of the torch !,E,E,0.7
"tmlt : but at least i have a tomorrow , and jesus is lord , so whatever .",E,I,0.62
"worked last night , day shift tomorrow , and have the snow storm .",E,I,0.63
"Soooo tomorrow at our rimac party , right ?",E,E,0.82
i woke up to 42 text messages .,E,E,0.72
vast majority of them are from the core .,E,I,0.55
how can so many people be so stupid?,E,E,0.62
have you considered any other types though?,E,E,0.56
"I believe I am pretty mature, but that in being so I know that life is way too short not to act childish every once in a while.",E,I,0.58
i use my gifs to express myself.,E,E,0.65
o; I'll follow you on tumblr to show my commitment.,E,E,0.72
I'm usually not a repeat offender unless I'm extremely interested in the person.,E,I,0.56
:3 AGGHHHHH MY GOD LOOK AT THIS CUTIE.,E,E,0.65
I just joined this site today and I am super excited to make a bunch of new friends on here!,E,E,0.85
It's as easy to talk to a complete stranger as it is with your best friend.,E,E,0.72
So I play the ukulele and I was wondering if you knew any songs that sound great or have the potential to sound great on the ukulele.,E,I,0.58
I absolutely love reading paper books.,E,I,0.72
"Okay I know we're supposed to be criticizing, but I just love your sassiness.",E,E,0.65
I also didn't like Korra very much and I thought the plot of Avatar: The Legend Of Aang (ATLA) was much better.,E,I,0.58
"Since the first season, I've been rooting for them to be together.",E,E,0.62
"I'm not sure why you see him as an extrovert, specifically.",E,I,0.58
One of the things that kept me from ever considering was the party-girl who you can't really have a deep conversation with stereotype.,E,I,0.6
I guess I have always been somewhat confused about Se.,E,I,0.65
I am back again into this community.,E,E,0.62
I would like to say hello to all of you guys.,E,E,0.9
Hope you are enjoying a lot here.,E,E,0.7
Ha ha ha I like it too.,E,E,0.72
"No, never I don't feel hesitant to express myself to others.",E,E,0.72
TBH why are you not a rapper?????,E,E,0.62
"For some people, Instagram is a great way to facilitate their self expression.",E,E,0.66
I'm compelled to roll around on the ground and make walrus noises.,E,E,0.63
That's an interesting concept that I'm going to pretend to understand!!,E,I,0.56
"So, I'm really worried about posting my photo on here.",E,I,0.65
You are obviously getting a ton of mixed signals.,E,E,0.62
"If she says she still loves you though, take it at face value.",E,E,0.62
I'm just exploring my options and having fun here.,E,E,0.63
"Kiss me, touch me, tease me.",E,E,0.72
</3 Bananas + chocolate= Me dying and going to heaven.,E,I,0.68
Ever since I was a kid dance was an outlet I could go to for when I felt down and misunderstood.,E,I,0.63
It is like breathing for the soul.,E,I,0.6
"yellow and orange is bright, shining and beautiful like the sun I love all colors!!!!",E,E,0.65
Egg and applewood ham sammy on potato bread with brie & pate and grilled onions & tomatoes.,E,I,0.55
"When my bf and I first started dating, we were on our way home from our first concert together and All of Me by John Legend was played on the radio.",E,E,0.62
I love this band so god damn much.,E,I,0.58
Listening to them always puts me in a great mood.,E,E,0.72
Giving the Horses album a listen for the first time.,E,I,0.6
This song kicks so much ass.,E,E,0.68
A collection of 10 perfectly crafted new wave/pop songs.,E,I,0.63
^ I see we're on the same level!,E,E,0.68
Wanna see me as a Zombie?,E,E,0.62
I gotta use my soundsword now.,E,E,0.64
"You're worthy, you're worthy, get up!",E,E,0.62
Wildstar beta :3 got now exactly 100 thanks and done 50 thanks myself!,E,I,0.6
I am currently working on two articles for a men's magazine (targeting ages 18-45) and they require a female point of view.,E,E,0.58
Just wanna know how guys 'strategize' zeroing in on a more compatible mate!!,E,E,0.72
We don't have any issue over the fact that I'm extroverted and he's introverted.,E,E,0.85
what about what makes ME happy?,E,I,0.62
I am and I'm extremely intense and love having deep conversations and helping people with any problems they might have.,E,E,0.65
"Lazy, empathetic, diffrent, expressive and creative.",E,E,0.6
"I did it yay, I can finally play some games now I was kidding.",E,E,0.66
I actually have no idea who you are and would be intrigued to meet you so we could talk things out.,E,E,0.71
"Listen to music, play some videogames, just stall until you're up to balance again.",E,I,0.62
"I feel like I go between E and I alot since I don't mind being the centre of attention but I don't need to be in order to be happy but yeah, I'll read all the 14 types and try to discover myself!",E,E,0.62
"I know you cross posted in a few subs already, but /r/randomactsofcards has quite a few gentle hearts who would likely send some as well.",E,E,0.62
"Just in case you weren't summoned, /u/CheapIsHowIFeel COME ON DOOOOOOWN BOOM!",E,E,0.66
"Tell me your secrets, thoughts and experiences - I'll run them through my own and tell you where I can relate to you so that we can enjoy that connection together.",E,E,0.74
"Plus, I would HATE to offend anyone unintentionally so listening first prevents that nasty foot-in-mouth thing that seems to be going around.",E,I,0.62
Peppermint tea is one of my FAVORITE things to unwind with (or start the day with during the holidays!).,E,I,0.65
I get a rush out of football or even watching football really.,E,E,0.68
Dude everything this guy says is awesome.,E,E,0.65
I liked watching all the faces go from happy to miserable.,E,E,0.62
I didnt listen for shit when i first got in and i just want to drink.,E,I,0.58
Do you spend a lot of time on your appearance?,E,E,0.62
hang in there and i hope you get better soon!,E,E,0.62
I would like to be recognised by those that I cherish and trust dearly and for them to hopefully understand too.,E,I,0.62
"Move on, lawyer up and hit the gym.",E,E,0.72
"though, I wish I could move to the Virgin Islands and grow a beard.",E,I,0.6
"But here's what I've learnt, you were there before her and you will be there after her.",E,I,0.63
Good for you and sorry to hear that.,E,I,0.62
Sounds like you're being reasonable and he's not.,E,E,0.62
"If he had to pick you and your cat or no one, which would he choose?",E,I,0.62
"My friends and I get along very well and have a wide range of conversations from smack talking, relationship talk, career, aspirations, etc.",E,E,0.72
"Rather than letting him stop at ""I'm not a cat person"", or ""it's me or the cat"" perhaps you can be the more emotionally mature person and ask/help him explore why he's not a cat person and then actually address those things together.",E,E,0.72
"I will take him everywhere and no one will hassle me, or question why I'm hugging a fluff ball 24/7.",E,E,0.68
"For the record, I picked up a smok alien, a Brit one mini, a tsunami rda, and five meters of Clapton coil, my total came to just short of 84 dollars, saved me 20 bucks, im off to the strip club to spend my savings as we speak!",E,E,0.78
"I'll bear down and listen to someone 24/7 but when it comes to my own personal problems you won't hear a word out of me, that's an issue I try to fight with constantly but it's just a wall I can't break.",E,I,0.66
"Im an ESPF and I tend to be extremely emotionally deep, I read people very well, and the majority of my friends tend to come to me for their deep rooted issues.",E,E,0.73
"Overall, it's a great tank in my opinion, but nothing beats the mini super tanks by tobecco, I have four or five of them and I swear by them!",E,I,0.64
"Yes, that's one of the best ones I've seen!",E,E,0.75
I was just looking at it last night.,E,I,0.61
All he can do is perform finishers on people.,E,E,0.58
"What exactly do you do in pokemon, if not catch em' all?",E,I,0.62
When people say if something hurts I just smile and I say I feel great.,E,E,0.66
"I'm hoping to move to the Los Angeles area this summer so I'm sure if I do decide to go through with it, I'll have no trouble finding somebody with lots of experience.",E,E,0.62
Stevie Nicks is a raspy etherial angel from heaven.,E,E,0.6
"A good place to start is with a good moisturizer topped with an occlusive to lock in moisture, like Vaseline or Aquaphor.",E,I,0.6
Who the hell drinks that much juice in one day?!,E,E,0.63
"If it keeps happening after that, either buy a mini fridge and keep snacks in your room or start setting traps out for the juice fairy.",E,I,0.63
I'm basically doing chores until 4 so I can go farm for bugs.,E,I,0.68
So pushing you around was a nice break from walking about aimlessly.,E,E,0.62
I'm watching from a distance because I'm accidentally a ginger.,E,I,0.72
Your MS Paint skills made me swoon.,E,E,0.6
"I have a sushi platter, six purple tulips, four pink tulips, one blue pansy, and one purple rose.",E,I,0.58
The mountains look so beautiful right now.,E,I,0.6
I've enjoyed spending my morning coffee admiring the view.,E,I,0.62
I was lucky and found a group of people who I genuinely adore and want to spend my life with.,E,E,0.72
BLOSSOMS WILL TAKE OVER THE WOOOOOORLD!,E,E,0.78
I've spent evenings just watching her videos.,E,I,0.72
Great way to end my Friday.,E,E,0.6
I personally love Pilot G2 for random note taking.,E,I,0.62
"Then you turn into a pen hobbyist really and you will never want to go back to cheap pens again, lol.",E,E,0.62
"However, I love a good conversation and just a bit of lighthearted, flirty, banter.",E,E,0.79
I told myself if there's no change in the next few weeks after we do some Salsa classes together (her idea) then I know it's not gonna move forward.,E,E,0.63
a lady sif le gusta el ngulo de esa cmara .,E,E,0.55
<3 / la primera temporada de y leslie x mark otp .,E,E,0.65
* lo que vas a ver > > cuando lleguemos no se parece en nada a las luchas del campamento .,E,E,0.68
"chi * ^ * es en abril , by the way ~ buenas noches ~ tim burton's avengers .",E,E,0.62
"uh , a ver si lo encuentro xd entra .",E,E,0.6
"i've been in the bath for two hours loml if you put all of dan and phil's videos together like a marathon how long would it go for buy everything someone just retweeted a tweet of mine from over a year ago , are you lost that's actually adorable what a sweetheart did i mention i have exams on monday and then i only have one week left of high school thank you !",E,E,0.72
"ive been studying all day lord help me screw u and your relationship that im probably too emotionally invested in you're adorable you don't want to know what's in that jar in the background my ten year old brother is a feral to clarify , my brother caught the spider , the spider is not my ten year old brother ur welcome !",E,E,0.65
i thought that might leave u a bit stumped !,E,I,0.58
the quadratic formula can screw my actual asshole very thank you !,E,I,0.55
i have an exam in eight hours goodnight it's 6:40 am i don't want to be awake thanks !,E,I,0.68
what you don't think i'm a good dancer ?,E,E,0.62
twitter bios for girls be like ...,E,E,0.65
my favorite part of the week has to be talking to in advisory i love you too !,E,E,0.74
jaccob should stop the attitude jaccob is a lie oh my gosh i don't !,E,E,0.63
three rides froze on us today tired as fuck of bratty children and old ppl im meeting princess anna ! ! !,E,I,0.62
i keep getting really sick whenever i drink wtf lucas takes 100x longer to get ready than me and jenna do .,E,E,0.65
i wanna see your wonderful faces !,E,E,0.82
i will literally pay for them to be built .,E,E,0.72
have you accepted randall as your lord & amp ; savior ?,E,I,0.62
yes me too we're all coming home yayayayyaay look how cute my sisters are ugh thankful for tonight .,E,E,0.72
last night we had a very impromptu jam sesh .,E,E,0.84
pumpkin spice yogurt is disgusting don't let anyone tell you different .,E,I,0.58
it was nice seeing a familiar m-town face for once .,E,E,0.65
it's the little things that remind me of god's perfect creation .,E,I,0.65
plus i'll swoop in for the kill once his girlfriend finds out !,E,E,0.67
i've literally made like 2 new friends !,E,E,0.82
"me at 5pm : nah , gotta studyme at 9.21 pm : we should totally do shots how ?",E,E,0.62
just had a shot of vodka .,E,I,0.56
mixing drinks and drawing new relationships with poolboys .,E,E,0.72
wat is life why am i awake this has been the weirdest fucking night ever i should get a medal for being socially inept ducking triathlon rejjie i decided that a cashmere sweater inside out with no pants would make good pajamas that baby wasted thank you dr martens for not only supplying me with the best boot ever made but also for supplying me with the most painful blisters ever ow last monday of my freshman year is just as bad as every other one people getting off the green route at 7:45 .,E,I,0.64
i feel u the gallery espresso employees must think i'm so lonely because i'm here at least twice a week around 1 o'clock alone flip flops in public = admitting to total laziness ew i hate them so much like flip flops are just fucking gross especially when a girl doesn't pick up her feet while wearing them and they just make that horrendous noise there is a dad at the table next to me and he just nodded at me and winked help holy shit so many attractive men walking by me today i just want to touch all the butts attractive men with gorgeous dogs so much eye candy today it's great rap game uncle kracker i don't want to pack congrats bb you are perfect .,E,I,0.63
"come to savannah , georgia and be my best friend .",E,E,0.78
"someone come help me pack , ill make you coffee and give you a non-sexual massage , shoshanna style i just can't wait until posts stop iphoto sucks 9,000 dicks come work in my room !",E,E,0.82
it's a mess because i'm up packing but you're welcome !,E,I,0.62
"okay i post this year at naka i wanna make a sign that says "" stop memeing ahead "" workin my feet hurt sso bad ohohoo im so excited for prom okay i cleaned up my eyebrows so they'll be nice for prom drugs / 't believe i got drug tested for the first time ever a week and a half after trying weed for the first time ever .",E,E,0.72
last selfie from this morning that ill post today can't believe prom is in two days when ur up an hour and a half later than u usually are ive been kind of vacant ive been working on prom stuff for about two hours some time after school most days this week food / eat breakfast tomorrow morning and still have time to wrap my friends birthday present so i rly need to wake up early prom tomorrow .,E,E,0.72
i gave me friend a gift for his birthday today bought 22 flowers yesterday have an eflamed tastebud again enflamed hello hello hello radio prom tonight .,E,E,0.65
the trans band i am in love prommin im waiting for the promenade food / been told i look like a fairy three times and i am loving it :-) ooo o my feet hurt we are going to the after prom party now ! !,E,E,0.75
"this is an okay pic of me omg , thank you food / at dinner was rly good this was my corsage won a basket of mary kay makeup omg im so used to dollar general makeup im gonna get spoiled with this mary kay makeup also apparently when i showed up to take pictures with everyone in the square i was so hot one boy said "" what the heck "" in surprise and awe okay its .",E,E,0.72
idk whats going on anymore i need fancams stat ?,E,I,0.65
sadly but i have a feeling that during the summer 95liners will kick back into gear and then we will be faux kpop stars !,E,E,0.64
see i wasnt a fan of the blonde the other day but i love the red .,E,I,0.6
swooning forever it was wonderful and i may have needed to take a moment to calm down we share each others pain !,E,E,0.65
but thank you for your encouragement <3 i feel like you should just be in the testing room and just cheer me on while i take the test .,E,E,0.68
why doesn't the chicken wear pants ?,E,E,0.62
no the windows are down let's go early and get the couch i need to tweet more .,E,E,0.72
do we get to pick the brand ?,E,E,0.64
haha your tweets are scaring me !,E,E,0.6
thanks for showing me pink's new album !,E,E,0.62
"well you are sad and want to be happy but don't list why you are sad, so my advice is go do happy things just do what u like, is that so hard.",E,E,0.65
"i'm a high school graduate that plays runescape and wow or my 1975 rolex date just, with vvvvvvvs diamond dials, with gold from king tut's coffin if you can find a buyer for my 40m red diamond dog tag get a degree in something you like, i rather work for a day then a year.",E,E,0.62
"how can you have that as your name, any half-assed person could immediately pick up on it.",E,E,0.62
do things you like and stay far away from things you hate or anything that is closely associated.,E,I,0.62
"never works out, sounds like ur a keg would help if we knew why look, this is something you need to see a psychologist about.",E,E,0.62
I'm very sexual and have more and better sex than the average American.,E,E,0.65
My how marred this post has become after Sporadic Aura started bullying Ghost Rider.,E,I,0.62
"I've been following typology for a little while now, and kept winding up on PerC threads full of discussion about whatever had me searching at the moment.",E,E,0.65
The inferior Ti sometimes has them pointing that potency the wrong way though.,E,I,0.78
"There was no stirring before you came along, and responding like this to a thoughtful post by an admitted trauma sufferer is completely inappropriate.",E,E,0.66
I think that Judgers are often incorrectly perceived as being selfish.,E,I,0.6
You don't understand why everybody gets mad when you suggest a RATIONAL solution when they are all about the emotional.,E,E,0.62
"I get REALLY annoyed with the exact same things you listed and because I am an extrovert, I frequently say exactly what I think.",E,E,0.92
You have a cow when somebody wants to change the game plan at the last minute!,E,E,0.56
I get myself into hot water on a regular basis!,E,E,0.63
You're probably going to have to climb up and get him.,E,E,0.66
I'd suggest thick gloves and an animal carrier.,E,I,0.57
"Now that I know I'm going to be a mom, I'm debating whether or not we should vacinate our child.",E,I,0.65
"You see, I know they can prevent losing lives.",E,E,0.65
"I don't really care if I actually offended anyone, it would be a ridiculous reason to be offended especially after I said I was messing with 4s.",E,E,0.65
"I think in an ARTISTICAL way, but express my energy in a EffICIENT way.",E,E,0.6
Conduct a meeting before work to announce the identity of the thief & let em work it out themselves.,E,E,0.78
"... No thanks, I've already discussed it to death elsewhere.",E,I,0.66
"I'm thinking that with a patriotic real American leader, these next 100 days should be a huge improvement over the previous 16 years.",E,E,0.63
"LOL that TopCat may have been king for a day, akin to Simba's uncle Scar but it's time the s take their kingdom back from a poser.",E,E,0.68
There's a simple rule of thumb for people known for taking shit.,E,E,0.58
"When moving, you want to pack in the order of how frequently you use things.",E,I,0.62
"Start with the least frequently used, and move your way up.",E,E,0.68
"you want to put your YouTube channel out there and get more viewers, then you need to make videos that people want to watch.",E,E,0.74
"This software monitors your activity and gives a weekly e-mail report on how much time you've spent on each application, or website.",E,E,0.57
So what you're saying is that xSTJs need to use their time efficiently and they like being busy?,E,E,0.58
Organization is a BIG thing for me.,E,I,0.62
P's annoy me so much because they are usually very unorganized.,E,I,0.55
"As I've been reading all these posts, I think i speak for most s when I say I want something useful.",E,E,0.66
"If you do something for the good of society, if affects you too because you are part of society.",E,E,0.62
"That trash has been sitting out on the curb for months, it's obvious it's not going to be picked up, and at this point it's starting to stink.",E,E,0.62
"With that approach you could just call it The Curb and have separate subsections for plastic, glass, metal, and yard waste.",E,E,0.63
"I think there should be just one subsection of threads that do not appear on the main page, those with potentially offensive titles, mostly because of swear words.",E,I,0.6
In the real world they do have vote recounts.,E,I,0.56
If it hadn't been for your shrewd attention to detail I would have readily believed this photo was genuine and not photo-shopped.,E,E,0.62
"I am a man getting a degree to become a teacher and none of those scholarships are just for ""male teacher"" they either have other caveats or are for everyone.",E,I,0.6
"Its my hope that a wall would send a message that you can't just waltz across the border, you need to provide proper documentation.",E,E,0.65
Then our biggest immigration issue will be visa overstays and i believe an e-verify system for every workplace in America will go a long way in dealing with the visa overstays because(hopefully) if these people cant work they wont stay.,E,E,0.62
I think the second one is the smarter option and could likely be done with the UN so we involve the international community.,E,E,0.65
I don't think killing terrorists families is prudent because it would likely lead to further radicalization.,E,I,0.62
"I think I might probably be a user in this sense then, because I do love order, especially at home.",E,I,0.62
Relationships are about coming to a compromise no matter what the situation.,E,E,0.58
So the exclusion of you not participating in things that are family related is complete bull.,E,E,0.62
"I would suggest you talk to him and tell him how unfair, the way he is excluding you from this situation is making you feel.",E,E,0.66
"But I would really suggest you sit him down and have this discussion, and think about your moral ethics/deal breakers (whatever they may be) and whether you would want to completely throw those out the window, if he still refuses to tell.",E,E,0.72
I am troubled by ideas that are illogical or non-sensical.,E,I,0.58
Logic plays a strong role in my thoughts.,E,I,0.68
"I’m almost always a take-charge kind of person but if I think that I somehow won’t succeed or if I think someone will judge me poorly for whatever reason, I will shy away from taking the reins.",E,E,0.72
"I have no problems standing up for myself, even in a leadership position.",E,E,0.72
"I’m never self-destructive physically, I have strong mental discipline and - even at my worst - I will not make choices that are unhealthy for myself or my family.",E,I,0.62
I'm sure many mothers would pay a lot for not having a sore back or missing work.,E,I,0.62
"In fact, cancel maternity leave too!",E,E,0.55
"Given your work situation, you are not going want to live near Knoxville, North or South of it.",E,I,0.55
A ticket is a regulatory citation and probably backed by law.,E,I,0.6
You don't get to decide the timetable to comply with regulations.,E,E,0.58
"It's really easy to claim feminism, true, but when it's at the expense of a certain group of women, it doesn't make you any less prejudice.",E,E,0.65
"Feminism is supposed to be *inclusive*, not, ya know, the other thing.",E,E,0.55
My dad is like...a cop who tries really really hard to please everyone and be a good dad.,E,E,0.63
"If it's someone I'm close with we'll usually fight about it with the end goal being, ""who's in the wrong, why, who needs to apologize, and who needs to work on what to make this better in the long run"".",E,E,0.63
Same workout 6 days a week?,E,I,0.62
Ibuprofen + pseudoephedrine works like a charm for me.,E,I,0.58
"It's supposed to manage common cold or sinusitis symptoms, but it does wonders for my joints and spinal column.",E,I,0.65
"Considering that according to various polls and studies, at least 90% of journalists vote left, this is gonna be a bit hard to recruit for.",E,E,0.64
"Brining ribs sounds kinda unnecessary to me (if it has high fat content, brining won't improve it) but it is definitely doable.",E,I,0.57
this is going to be a productive day !,E,E,0.62
